statement_number,shipment_date,pro_number,reference,bol,shipper_name,shipper_city,shipper_state,shipper_zip_code,consignee_name,consignee_city,consignee_state,consignee_zip_code,pallets,class,weight,purchase_order,gross_amount,fuel_surcharge,discount_amount,net_amount,paid_to_date,store_number
8124961,21215,328645174,NS                  ,2687,METALTECH PRODUCTS            ,LEBANON             ,MO,65536,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,50,159,MultiplePO#s(4)     ,78.4,9.11,17.65,69.86,0,     
8124961,21215,328847994,N                   ,22356,AMERICAN DIESEL TUBE          ,ADDISON             ,IL,60101,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,77.5,126,275351,85.7,9.11,24.95,69.86,0,     
8124961,21315,328881819,NS                  ,NS                  ,CROWNHILL PACKAGING           ,WAUKEGAN            ,IL,60085,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,70,895,273923,212.83,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,105,                    ,24.97,12.13,156.95,92.98,0,     
8124961,21315,328972866,NA                  ,148540310,ULINE                         ,WAUKEGAN            ,IL,60085,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,77.5,254,58470,94.82,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,77.5,45,                    ,16.8,9.11,50.87,69.86,0,     
8124961,21115,330301160,1.00E+11,DAFG-100102253654   ,LAPEER INDUSTRIES             ,LAPEER              ,MI,48446,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,4,100,6944,D21CSS0211150856    ,1189.51,60.66,785.08,465.09,0,     
8124961,21115,330301178,1.00E+11,DAFG-100102253717   ,LAPEER INDUSTRIES             ,LAPEER              ,MI,48446,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,5,50,2500,NS                  ,566.25,28.88,373.73,221.4,0,     
8124961,21215,330597834,664090,NS                  ,"ACCUMETRIC, LLC               ",ELIZABETHTOWN       ,KY,42701,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,55,2694,268152,443.7,22.63,292.84,173.49,0,     
8124961,21215,331226763,S0273919ALL5        ,006-45706743        ,UNITED AIRLINES               ,KANSAS CITY         ,MO,64153,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,85,355,NS                  ,103.8,9.11,43.05,69.86,0,     
8124961,21215,333790419,407911,81533713,KAMAX GB DUPONT               ,TROY                ,MI,48098,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,50,322,NS                  ,101.24,0,0,0,0,     
